a,Споделување и пресметување во толпа,летен,Четврта
a,Управување со ИКТ проекти,летен,Четврта
a,Дизајн на компјутерски мрежи,летен,Четврта
a,Македонски јазик,летен,Четврта
a,Методика на информатиката,летен,Четврта
a,Виртуелна реалност,летен,Четврта
a,Вовед во когнитивни науки,летен,Четврта
a,Компјутерска анимација,летен,Четврта
a,Биолошки инспирирано пресметување,летен,Четврта
a,ИКТ за развој,летен,Четврта
a,Интелигентни информациски системи,летен,Четврта
a,Пресметковна биологија,летен,Четврта
a,Програмски јазици и компајлери,летен,Четврта
