a,Бизнис и менаџмент,зимски,Прва
a,Вовед во компјутерските науки,зимски,Прва
a,Калкулус,зимски,Прва
a,Професионални вештини,зимски,Прва
a,Структурно програмирање,зимски,Прва
a,Дискретна математика,зимски,Прва
a,Педагогија,зимски,Прва
a,Дискретни структури 1,зимски,Прва
a,Калкулус 1,зимски,Прва
a,Дизајн на дигитални кола,зимски,Прва
a,Физика,зимски,Прва
a,Дискретна математика,летен,Прва
a,Компјутерски архитектури,летен,Прва
a,Објектно-ориентирано програмирање,летен,Прва
a,Основи на сајбер безбедноста,летен,Прва
a,Спорт и здравје,летен,Прва
a,Бизнис статистика,летен,Прва
a,Калкулус 2,летен,Прва
a,Компјутерски компоненти,летен,Прва
a,Креативни вештини за решавање проблеми,летен,Прва
a,Маркетинг,летен,Прва
a,Објектно ориентирана анализа и дизајн,летен,Прва
a,Основи на веб дизајн,летен,Прва
a,ИТ системи за учење,летен,Прва
a,Калкулус,летен,Прва
a,Архитектура и организација на компјутери,летен,Прва
a,Дискретни структури 2,летен,Прва
a,Алгоритми и податочни структури,зимски,Втора
a,Компјутерски мрежи,зимски,Втора
a,Основи на теоријата на информации,зимски,Втора
a,Инженерска математика,зимски,Втора
a,Интернет програмирање на клиентска страна,зимски,Втора
a,Напредно програмирање,зимски,Втора
a,Основи на комуникациски системи,зимски,Втора
a,Управување со техничката поддршка,зимски,Втора
a,Компјутерски мрежи и безбедност,зимски,Втора
a,Мултимедијални технологии,зимски,Втора
a,Веројатност и статистика,зимски,Втора
a,Дигитизација,зимски,Втора
a,Шаблони за дизајн на кориснички интерфејси,зимски,Втора
a,Економија за ИКТ инженери,зимски,Втора
a,Безжични и мобилни системи,летен,Втора
a,Оперативни системи,летен,Втора
a,Вештачка интелигенција,летен,Втора
a,Визуелно програмирање,летен,Втора
a,Вовед во екоинформатиката,летен,Втора
a,Вовед во случајни процеси,летен,Втора
a,Интернет технологии,летен,Втора
a,Медиуми и комуникации,летен,Втора
a,Одржливи и енергетски ефикасни компјутерски системи,летен,Втора
a,Софтверско инженерство,летен,Втора
a,ИКТ во образованието,летен,Втора
a,Дизајн на алгоритми,летен,Втора
a,Е-влада,летен,Втора
a,Електрични кола,летен,Втора
a,Компјутерска графика,летен,Втора
a,Споделување и пресметување во толпа,летен,Втора
a,Анализа на софтверските барања,летен,Втора
a,Дигитално процесирање на слика,летен,Втора
a,Теорија на информации со дигитални комуникации,летен,Втора
a,Концепти на информатичко општество,летен,Втора
a,Администрација на системи,зимски,Трета
a,Бази на податоци,зимски,Трета
a,Мрежна безбедност,зимски,Трета
a,Веб програмирање,зимски,Трета
a,Визуелизација,зимски,Трета
a,Вовед во науката за податоци,зимски,Трета
a,Информациска безбедност,зимски,Трета
a,Компјутерска етика,зимски,Трета
a,Компјутерски звук говор и музика,зимски,Трета
a,Линеарна алгебра и примени,зимски,Трета
a,Мултимедиски мрежи,зимски,Трета
a,Основи на роботиката,зимски,Трета
a,Паралелно и дистрибуирано процесирање,зимски,Трета
